Package,LibPath,Version,Priority,Built
munsell,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.0,NA,3.6.0
nlme,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.1-142,recommended,3.6.2
nnet,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,7.3-12,recommended,3.6.2
openssl,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.1,NA,3.6.0
parallel,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.2,base,3.6.2
pillar,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.3,NA,3.6.0
pkgconfig,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.3,NA,3.6.0
plogr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.0,NA,3.6.0
plyr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.8.5,NA,3.6.0
prettyunits,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.1,NA,3.6.2
processx,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.4.1,NA,3.6.0
progress,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.2,NA,3.6.0
ps,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.0,NA,3.6.0
purrr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.3,NA,3.6.0
R6,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.4.1,NA,3.6.0
RColorBrewer,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1-2,NA,3.6.0
Rcpp,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.3,NA,3.6.0
readr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.1,NA,3.6.0
readxl,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.1,NA,3.6.0
rematch,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.1,NA,3.6.0
reprex,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.0,NA,3.6.0
